,Country,AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
2735,164,60,1,1,0,28,1,8,2,60,1
2736,133,62,1,2,1,27,1,5,2,62,1
2737,133,58,1,1,0,24,1,8,2,58,1
2738,45,41,0,1,0,25,1,0,0,41,0
2739,133,66,1,1,0,38,2,3,1,66,1
2740,108,52,1,1,0,43,3,1,0,52,1
2742,71,24,0,1,0,13,0,2,1,24,0
2743,133,61,1,1,0,34,2,4,1,61,1
2744,133,72,1,2,1,20,0,11,2,72,1
2745,125,64,1,2,1,47,3,1,0,64,1
2746,23,60,1,1,0,9,0,8,2,60,1
2747,164,55,1,1,0,28,1,5,2,55,1
2748,164,75,1,2,1,18,0,20,2,75,1
2749,65,87,1,1,0,39,2,2,1,87,1
2750,108,68,1,1,0,40,2,2,1,68,1
2751,133,51,1,1,0,28,1,4,1,51,1
2752,15,154,3,8,1,17,0,12,2,154,3
2753,164,69,1,1,0,26,1,10,2,69,1
2754,164,46,0,1,0,30,1,9,2,46,0
2755,108,98,1,1,0,45,3,1,0,98,1
2756,164,55,1,1,0,11,0,10,2,55,1
2757,45,79,1,2,1,45,3,1,0,79,1
2758,105,34,0,0,0,20,0,0,0,34,0
2759,46,47,0,1,0,9,0,4,1,47,0
2760,164,68,1,2,1,20,0,7,2,68,1
2761,71,58,1,2,1,5,0,5,2,58,1
2762,164,45,0,1,0,45,3,2,1,31,0
2763,125,67,1,2,1,48,3,0,0,67,1
2764,122,156,3,2,1,77,3,0,0,156,3
2765,164,42,0,1,0,35,2,6,2,42,0
2766,35,35,0,1,0,20,0,0,0,35,0
2767,64,32,0,1,0,32,2,1,0,14,0
2768,122,174,3,1,0,92,3,1,0,174,3
2769,122,197,3,1,0,39,2,0,0,197,3
2770,67,30,0,1,0,30,1,2,1,29,0
2771,45,146,2,3,1,142,3,2,1,146,2
2772,45,109,2,2,1,87,3,1,0,109,2
2773,122,500,5,1,0,77,3,1,0,480,5
2774,129,40,0,1,0,27,1,5,2,40,0
